fq_name,count
com.github.ajalt.clikt.output,47
com.github.ajalt.clikt.parameters,996
com.github.ajalt.colormath,10
com.github.ajalt.mordant,38
com.github.ajalt.timberkt,81
com.github.andrewoma,127
com.github.anrwatchdog,3
com.github.appreciated,48
com.github.autostyle,2
com.github.avrokotlin,40
com.github.b3er,1
com.github.badoualy,145
com.github.benmanes,373
com.github.bjansen,31
com.github.breadmoirai,12
com.github.chrisbanes,7
com.github.clans,4
com.github.cliftonlabs,14
com.github.csabasulyok,1
com.github.czyzby,97
com.github.dcevm,2
com.github.difflib,12
com.github.dockerjava,178
com.github.doyaaaaaken,6
com.github.dtmo,12
com.github.ezauton,204
com.github.f4b6a3,10
com.github.fakemongo,9
com.github.fge,28
com.github.florent37,26
com.github.fragivity,15
com.github.freva,5
com.github.gantsign,1
com.github.gfx,22
com.github.gmazzo,1
com.github.gradle,2
com.github.grishberg,18
com.github.h0tk3y,147
com.github.ihsg,2
com.github.ivanshafran,1
com.github.jasminb,112
com.github.jasync,46
com.github.javafaker,40
com.github.javaparser,123
com.github.javiersantos,16
com.github.jcustenborder,9
com.github.jdsjlzx,7
com.github.jengelman,158
com.github.jershell,3
com.github.jinatonic,2
com.github.jk1,4
com.github.jknack,18
com.github.jonatino,3
com.github.jrubygradle,2
com.github.junrar,3
com.github.k0zka,26
com.github.kevinpriv,1
com.github.kevinsawicki,69
com.github.kittinunf,755
com.github.kornilova_l,84
com.github.lamba92,2
com.github.luben,2
com.github.manosbatsis,177
com.github.marcoferrer,10
com.github.markusbernhardt,1
com.github.marlonlom,1
com.github.marschall,3
com.github.memo33,1
com.github.mfarsikov,4
com.github.michaelbull,453
com.github.mikephil,68
com.github.milis92,2
com.github.monun,38
com.github.mrindeciso,14
com.github.musichin,2
com.github.mustachejava,36
com.github.mustafaozhan,72
com.github.mvysny,940
com.github.natanbc,73
com.github.noonmaru,79
com.github.nowakprojects,10
com.github.nwillc,6
com.github.oowekyala,5
com.github.openjson,9
com.github.oxo42,4
com.github.pagehelper,6
com.github.pambrose,103
com.github.paolorotolo,10
com.github.pgreze,8
com.github.pgutkowski,16
com.github.pozo,65
com.github.promeg,4
com.github.pwittchen,3
com.github.qingmei2,11
com.github.razir,14
com.github.richardwrq,8
com.github.ricky12awesome,9
com.github.rodm,4
com.github.romankh3,3
com.github.rubensousa,12
com.github.salomonbrys,1236
com.github.sardine,6
com.github.sarxos,4
com.github.satoshun,1
com.github.scribejava,40
com.github.shyiko,12
com.github.shynixn,21
com.github.simonpercic,3
com.github.slugify,4
com.github.snabbdom,228
com.github.springtestdbunit,4
com.github.stefanbirkner,1
com.github.steveice10,43
com.github.takahirom,6
com.github.terrakok,15
com.github.theapache64,94
com.github.thomasnield,30
com.github.tomakehurst,302
com.github.triplet,1
com.github.underscore,10
com.github.vertical_blank,2
com.github.victools,6
com.github.vipulasri,2
com.github.vlsi,4
com.github.vokorm,24
com.github.weisj,2
com.github.zafarkhaja,11
com.github.zagum,2
com.github.ziplet,2
com.github.zsoltk,1
com.gitlab,270
com.gmail.nossr50,1
com.goide,150
com.gojuno,164
com.google.accompanist,360
com.google.ads,10
com.google.android.apps,10
com.google.android,10
com.google.android.exoplayer2,641
com.google.android.flexbox,30
com.google.android.gms,653
com.google.android.libraries,20
com.google.android.material.animation,5
com.google.android.material.appbar,124
com.google.android.material.behavior,10
com.google.android.material.bottomappbar,12
com.google.android.material.bottomnavigation,80
com.google.android.material.bottomsheet,283
com.google.android.material.button,44
com.google.android.material.chip,60
com.google.android.material.datepicker,20
com.google.android.material.floatingactionbutton,126
com.google.android.material.internal,5
com.google.android.material.math,4
com.google.android.material.navigation,31
com.google.android.material.progressindicator,8
com.google.android.material.shape,107
com.google.android.material.slider,22
com.google.android.material.snackbar,420
com.google.android.material.tabs,157
com.google.android.material.textfield,197
com.google.android.material.transition,57
com.google.android.play,198
com.google.android.wearable,8
com.google.api,816
com.google.appengine,39
com.google.assistant,1
com.google.auth,54
com.google.auto,317
com.google.cloud,382
com.google.code,3
com.google.common,3
com.google.common.base,473
com.google.common.cache,320
com.google.common.collect,666
com.google.common.eventbus,231
com.google.common.geometry,30
com.google.common.graph,4
com.google.common.hash,60
com.google.common.html,9
com.google.common.io,187
com.google.common.jimfs,61
com.google.common.math,29
com.google.common.net,34
com.google.common.primitives,75
com.google.common.reflect,64
com.google.common.truth,2339
com.google.common.util,387
com.google.crypto,120
com.google.devrel,17
com.google.devtools,315
com.google.errorprone,2
com.google,8
com.google.firebase,132
com.google.firebase.analytics,150
com.google.firebase.appdistribution,2
com.google.firebase.appindexing,21
com.google.firebase.auth,132
com.google.firebase.crashlytics,107
com.google.firebase.database,208
com.google.firebase.dynamiclinks,6
com.google.firebase.firestore,172
com.google.firebase.functions,5
com.google.firebase.iid,16
com.google.firebase.ktx,22
com.google.firebase.messaging,91
com.google.firebase.ml,6
com.google.firebase.perf,4
com.google.firebase.remoteconfig,59
com.google.firebase.storage,35
com.google.flatbuffers,4
com.google.googlejavaformat,5
com.google.gradle,3
com.google.gson,7953
com.google.home,9
com.google.i18n,14
com.google.inject,1410
com.google.j2cl,2
com.google.javascript,7
com.google.logging,7
com.google.longrunning,2
com.google.maps,28
com.google.mlkit,24
com.google.ortools,1
com.google.protobuf,966
com.google.pubsub,21
com.google.re2j,1
com.google.rpc,7
com.google.showcase,20
com.google.test,2
com.google.testing,262
com.google.transit,17
com.google.wireless,4
com.google.zetasql,8
com.google.zxing,149
com.googlecode,57
com.goterl,19
com.grack,25
com.gradle,13
com.graphhopper,3
com.graphhopper.reader,1
com.graphhopper.routing,2
com.grosner,2
com.grum,5
com.gs,14
com.gu,3
com.gyf,8
com.hadihariri,6
com.hadilq,14
com.hanks,3
com.hannesdorfmann,30
com.haroldadmin,32
com.haulmont.cuba,7
com.hazelcast,108
com.heinrichreimersoftware.materialintro,3
com.helger,12
com.helpshift,4
com.hendraanggrian,115
com.hexagonkt,7
com.hiczp,58
com.hierynomus.gradle,3
com.hierynomus.sshj,7
com.hippo,12
com.hivemq,23
com.hiya,6
com.hjq,6
com.hoc081098,13
com.hound.android,5
com.hound.core,2
com.howshea,38
com.hrakaroo.glob,2
com.hsicen,8
com.hsingh,2
com.hubspot,16
com.ib,22
com.ibm,30
com.icafe4j.image,2
com.icapps.tools,1
com.icecreamqaq,33
com.ihsanbal,4
com.illposed,24
com.impetus.kundera,2
com.importre,26
com.improve_future,3
com.imyyq,20
com.indeed,2
com.influxdb,6
com.install4j.gradle,1
com.instructure,188
com.intellij,1
com.intellij.BundleBase,2
com.intellij.analysis,11
com.intellij.application,186
com.intellij.build,31
com.intellij.cloudConfig,2
com.intellij.codeEditor,1
com.intellij.codeHighlighting,98
com.intellij.codeInsight,10
com.intellij.codeInsight.actions,29
com.intellij.codeInsight.codeFragment,6
com.intellij.codeInsight.completion,1074
com.intellij.codeInsight.controlflow,42
com.intellij.codeInsight.daemon,488
com.intellij.codeInsight.documentation,64
com.intellij.codeInsight.editorActions,202
com.intellij.codeInsight.folding,6
com.intellij.codeInsight.generation,22
com.intellij.codeInsight.highlighting,39
com.intellij.codeInsight.hint,72
com.intellij.codeInsight.hints,79
com.intellij.codeInsight.intention,262
com.intellij.codeInsight.lookup,720
com.intellij.codeInsight.navigation,47
com.intellij.codeInsight.template,339
com.intellij.codeInspection,1804
com.intellij.codeWithMe,2
com.intellij.compiler,8
com.intellij.concurrency,20
com.intellij.configurationStore,2
com.intellij.core,23
com.intellij.coverage,25
com.intellij.credentialStore,45
com.intellij.css,1
com.intellij.database,157
com.intellij.debugger,73
com.intellij.designer,2
com.intellij.diagnostic,60
com.intellij.diff,100
com.intellij.dupLocator,3
com.intellij.dvcs,20
com.intellij.execution,1
com.intellij.execution.actions,115
com.intellij.execution.application,7
com.intellij.execution.configuration,55
com.intellij.execution.configurations,737
com.intellij.execution.console,30
com.intellij.execution.executors,90
com.intellij.execution.filters,81
com.intellij.execution.impl,80
com.intellij.execution.jar,4
com.intellij.execution.lineMarker,38
com.intellij.execution.process,453
com.intellij.execution.runners,264
com.intellij.execution.target,8
com.intellij.execution.testframework,125
com.intellij.execution.ui,239
com.intellij.execution.util,13
com.intellij.extapi,634
com.intellij.externalDependencies,7
com.intellij.externalSystem,3
com.intellij.facet,21
com.intellij.featureStatistics,5
com.intellij.find,80
com.intellij.formatting,259
com.intellij.framework,17
com.intellij.grazie,18
com.intellij.history,5
com.intellij.html,5
com.intellij.icons,522
com.intellij.ide,3
com.intellij.ide.actions,138
com.intellij.ide.bookmarks,7
com.intellij.ide.browsers,18
com.intellij.ide.dnd,6
com.intellij.ide.errorTreeView,4
com.intellij.ide.fileTemplates,107
com.intellij.ide.hierarchy,142
com.intellij.ide.highlighter,94
com.intellij.ide.impl,26
com.intellij.ide.macro,15
com.intellij.ide.plugins,207
com.intellij.ide.projectView,240
com.intellij.ide.scratch,21
com.intellij.ide.startup,8
com.intellij.ide.structureView,218
com.intellij.ide.ui,129
com.intellij.ide.util,700
com.intellij.idea,22
com.intellij.injected,10
com.intellij.internal,36
com.intellij.jarFinder,2
com.intellij.jarRepository,2
com.intellij.javaee,11
com.intellij.javascript,99
com.intellij.json,118
com.intellij.lang,10
com.intellij.lang.annotation,519
com.intellij.lang.cacheBuilder,72
com.intellij.lang.css,8
com.intellij.lang.documentation,65
com.intellij.lang.ecmascript6,25
com.intellij.lang.findUsages,43
com.intellij.lang.folding,158
com.intellij.lang.html,8
com.intellij.lang.impl,3
com.intellij.lang.injection,77
com.intellij.lang.java,35
com.intellij.lang.javascript,456
com.intellij.lang.jvm,12
com.intellij.lang.parameterInfo,34
com.intellij.lang.parser,37
com.intellij.lang.properties,47
com.intellij.lang.refactoring,47
com.intellij.lang.surroundWith,12
com.intellij.lang.xml,33
com.intellij.lexer,283
com.intellij.microservices,16
com.intellij.mock,69
com.intellij.navigation,337
com.intellij.notebook,1
com.intellij.notification,857
com.intellij.openapi,7
com.intellij.openapi.actionSystem,3277
com.intellij.openapi.application,2064
com.intellij.openapi.command,311
com.intellij.openapi.compiler,15
com.intellij.openapi.components,1463
com.intellij.openapi.diagnostic,935
com.intellij.openapi.diff,4
com.intellij.openapi.editor,3887
com.intellij.openapi.extensions,367
com.intellij.openapi.externalSystem,220
com.intellij.openapi.file,3
com.intellij.openapi.fileChooser,331
com.intellij.openapi.fileEditor,763
com.intellij.openapi.fileTypes,767
com.intellij.openapi.help,5
com.intellij.openapi.ide,36
com.intellij.openapi.keymap,42
com.intellij.openapi.module,540
com.intellij.openapi.observable,30
com.intellij.openapi.options,635
com.intellij.openapi.progress,937
com.intellij.openapi.project,5640
com.intellij.openapi.projectRoots,232
com.intellij.openapi.roots,680
com.intellij.openapi.startup,92
com.intellij.openapi.ui,1398
com.intellij.openapi.updateSettings,14
com.intellij.openapi.util,3377
com.intellij.openapi.vcs,331
com.intellij.openapi.vfs,2216
com.intellij.openapi.wm,637
com.intellij.options,4
com.intellij.packageDependencies,9
com.intellij.packaging,4
com.intellij.patterns,424
com.intellij.platform,43
com.intellij.plugins,9
com.intellij.pom,138
com.intellij.problems,1
com.intellij.profile,6
com.intellij.profiler,2
com.intellij.project,3
com.intellij.projectImport,23
com.intellij.psi,16140
com.intellij.refactoring,392
com.intellij.reference,11
com.intellij.remote,3
com.intellij.remoterobot,64
com.intellij.rt,9
com.intellij.serviceContainer,17
com.intellij.sh,2
com.intellij.spellchecker,72
com.intellij.spring,8
com.intellij.sql,10
com.intellij.structuralsearch,65
com.intellij.structure,3
com.intellij.task,10
com.intellij.tasks,37
com.intellij.terminal,5
com.intellij.testFramework,1085
com.intellij.testGuiFramework,34
com.intellij.testIntegration,16
com.intellij.tools,1
com.intellij.ui,2639
com.intellij.uiDesigner,75
com.intellij.usageView,84
com.intellij.usages,96
com.intellij.util,3689
com.intellij.vcs,56
com.intellij.webcore,43
com.intellij.xdebugger,634
com.intellij.xml,94
com.intuit.karate,3
com.ionob,62
com.ionspin,6
com.ipaulpro.afilechooser,2
com.ironz.binaryprefs,1
com.isnakebuzz.servernpc,1
com.itangcent,636
com.itextpdf,46
com.j256,43
com.jacob,6
com.jagrosh,158
com.jahnelgroup,15
com.jakewharton,562
com.jaredrummler,6
com.jasonclawson,2
com.jaygoo,4
com.jayway,156
com.jbvincey,2
com.jcabi,24
