groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
io.kotlintest:kotlintest-runner-junit5,38,1,25,0,0,0,0,0,2,0,10,0,0,0
io.kotlintest:kotlintest-assertions-arrow,2,0,2,0,0,0,0,0,0,0,0,0,0,0
io.kotlintest:kotlintest-extensions-spring,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.ninja-squad:springmockk,13,0,13,0,0,0,0,0,0,0,0,0,0,0
org.springframework.security:spring-security-test,21,1,18,0,0,0,0,0,0,0,2,0,0,0
com.h2database:h2,67,23,4,0,0,2,1,0,12,0,2,2,1,20
com.netflix.nebula:gradle-ospackage-plugin,5,1,0,0,0,4,0,0,0,0,0,0,0,0
com.github.jengelman.gradle.plugins:shadow,104,12,0,0,0,87,4,0,0,1,0,0,0,0
org.apache.logging.log4j:log4j-api-kotlin,7,4,0,0,0,0,1,0,2,0,0,0,0,0
org.apache.logging.log4j:log4j-slf4j18-impl,2,0,0,0,0,0,0,0,1,0,0,0,0,1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,53,31,3,0,0,1,4,0,10,1,1,0,0,2
io.prometheus:simpleclient_dropwizard,1,0,0,0,0,0,0,0,1,0,0,0,0,0
org.apache.commons:commons-math3,19,5,1,0,0,0,2,0,11,0,0,0,0,0
org.jetbrains.kotlin:kotlin-test,221,19,91,0,0,1,3,0,3,0,104,0,0,0
io.mockk:mockk,146,10,121,0,0,0,4,0,0,0,11,0,0,0
org.jetbrains.kotlin:test-junit5,34,11,21,0,0,0,0,0,0,0,2,0,0,0
org.jlleitschuh.gradle:ktlint-gradle,28,13,0,0,0,13,0,0,1,1,0,0,0,0
com.amazon.ion:ion-java,2,0,0,0,0,0,2,0,0,0,0,0,0,0
com.gradle.publish:plugin-publish-plugin,18,2,0,0,0,14,2,0,0,0,0,0,0,0
org.controlsfx:controlsfx,11,4,0,0,0,0,0,0,7,0,0,0,0,0
com.moowork.gradle:gradle-node-plugin,21,0,0,0,0,21,0,0,0,0,0,0,0,0
com.jfrog.bintray.gradle:gradle-bintray-plugin,100,13,0,0,0,82,3,0,2,0,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-common,49,19,0,0,0,0,7,0,19,4,0,0,0,0
org.jetbrains.kotlinx:kotlinx-io,3,1,0,0,0,0,2,0,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-test-common,43,20,1,0,0,0,7,0,0,0,15,0,0,0
org.jetbrains.kotlin:kotlin-test-annotations-common,41,20,1,0,0,0,7,0,0,0,13,0,0,0
org.jetbrains.kotlinx:kotlinx-io-jvm,5,2,0,0,0,0,3,0,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-js,78,29,0,0,0,0,6,0,42,0,0,1,0,0
org.jetbrains.kotlinx:kotlinx-io-js,3,1,0,0,0,0,2,0,0,0,0,0,0,0
org.jetbrains.kotlin:kotlin-test-js,57,16,9,0,0,0,6,0,8,0,18,0,0,0
org.jetbrains.kotlin:kotlin-serialization,52,6,0,0,0,46,0,0,0,0,0,0,0,0
com.codingfeline.kgql:gradle-plugin,1,0,0,0,0,1,0,0,0,0,0,0,0,0
