groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
gradle.plugin.de.fuerstenau,4,0,0,0,0,4,0,0,0,0,0,0,0,0
com.github.tuuzed,2,0,0,0,0,2,0,0,0,0,0,0,0,0
net.corda,78,10,7,0,0,0,0,0,22,15,24,0,0,0
com.sun.jersey,3,0,0,0,0,1,0,0,2,0,0,0,0,0
de.johni0702.gradle,2,0,0,0,0,2,0,0,0,0,0,0,0,0
org.junit.vintage,110,1,6,0,0,0,0,0,0,1,2,69,28,3
io.github.classgraph,40,26,2,0,0,0,3,0,5,1,0,0,0,3
org.springdoc,12,11,0,0,0,0,1,0,0,0,0,0,0,0
com.google.cloud.tools,8,0,0,0,0,8,0,0,0,0,0,0,0,0
javax.servlet,29,3,0,0,0,0,5,0,12,7,2,0,0,0
com.google.appengine,10,1,0,0,0,1,0,0,5,0,2,0,0,1
joda-time,48,22,0,0,0,0,3,0,21,1,1,0,0,0
org.knowm.xchart,7,4,2,0,0,0,0,0,0,0,1,0,0,0
de.siegmar,4,2,0,0,0,0,1,0,0,0,0,0,0,1
com.winterbe,14,0,8,0,0,0,0,0,0,0,6,0,0,0
vc.inreach.aws,2,0,0,0,0,0,0,0,2,0,0,0,0,0
io.searchbox,3,0,0,0,0,0,0,0,3,0,0,0,0,0
redis.clients,11,3,0,0,0,0,0,0,8,0,0,0,0,0
com.github.korhner,1,0,0,0,0,0,0,0,1,0,0,0,0,0
pl.allegro.tech,1,0,0,0,0,0,0,0,0,0,1,0,0,0
org.elasticsearch,13,3,0,0,0,0,1,0,5,3,1,0,0,0
org.elasticsearch.client,22,11,1,0,0,0,5,0,4,0,1,0,0,0
androidx.core,158,149,0,1,0,0,8,0,0,0,0,0,0,0
androidx.constraintlayout,144,142,0,0,0,0,2,0,0,0,0,0,0,0
androidx.hilt,7,5,0,0,1,0,1,0,0,0,0,0,0,0
com.airbnb.android,4,4,0,0,0,0,0,0,0,0,0,0,0,0
androidx.navigation,63,48,0,1,0,9,5,0,0,0,0,0,0,0
androidx.work,16,11,0,3,0,0,2,0,0,0,0,0,0,0
androidx.compose.runtime,15,14,0,0,0,0,1,0,0,0,0,0,0,0
androidx.compose.ui,35,27,1,6,0,0,1,0,0,0,0,0,0,0
androidx.compose.foundation,23,23,0,0,0,0,0,0,0,0,0,0,0,0
androidx.compose.material,24,24,0,0,0,0,0,0,0,0,0,0,0,0
androidx.datastore,3,3,0,0,0,0,0,0,0,0,0,0,0,0
androidx.security,5,4,0,1,0,0,0,0,0,0,0,0,0,0
androidx.room,34,15,0,3,10,0,5,1,0,0,0,0,0,0
org.springframework.cloud,198,121,4,0,0,0,12,0,57,4,0,0,0,0
com.sun.xml.bind,15,14,0,0,0,0,0,0,1,0,0,0,0,0
org.springframework.retry,7,7,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax,5,1,1,0,0,0,0,0,3,0,0,0,0,0
org.tomlj,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.h0tk3y.betterParse,4,2,0,0,0,0,1,0,1,0,0,0,0,0
org.jetbrains.spek,90,0,1,0,0,0,2,0,6,0,51,1,29,0
org.junit.platform,209,10,20,0,0,82,3,0,3,0,23,59,8,1
gradle.plugin.io.gitlab.arturbosch.detekt,5,0,0,0,0,5,0,0,0,0,0,0,0,0
com.github.ben-manes,53,16,0,0,0,36,1,0,0,0,0,0,0,0
com.github.kittinunf.fuel,56,27,1,0,0,2,2,0,23,0,0,0,0,1
io.github.enjoydambience,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin.spec.grammar,1,0,0,0,0,0,0,0,1,0,0,0,0,0
pl.beone.promena.base,3,0,0,0,0,0,0,0,3,0,0,0,0,0
pl.beone.promena.communication.memory.model,1,0,0,0,0,0,0,0,1,0,0,0,0,0
pl.beone.promena.lib.connector,1,0,0,0,0,0,0,0,1,0,0,0,0,0
org.apache.tika,4,3,0,0,0,0,0,0,1,0,0,0,0,0
com.intellij,5,0,0,0,0,0,2,0,1,2,0,0,0,0
org.glassfish,14,5,1,0,0,0,3,0,0,4,1,0,0,0
net.sf.proguard,6,0,0,0,0,6,0,0,0,0,0,0,0,0
com.jakewharton.retrofit,14,10,0,0,0,0,0,0,4,0,0,0,0,0
com.sangupta,2,1,1,0,0,0,0,0,0,0,0,0,0,0
org.liquibase,5,3,0,0,0,0,0,0,2,0,0,0,0,0
javax.mail,13,3,0,0,0,0,0,0,10,0,0,0,0,0
com.codeborne,4,1,3,0,0,0,0,0,0,0,0,0,0,0
org.powermock,25,0,15,0,0,0,0,0,0,0,10,0,0,0
me.arcaniax,1,0,0,0,0,0,0,0,0,1,0,0,0,0
io.pixeloutlaw,2,2,0,0,0,0,0,0,0,0,0,0,0,0
io.pixeloutlaw.worldguard,1,1,0,0,0,0,0,0,0,0,0,0,0,0
co.aikar,9,9,0,0,0,0,0,0,0,0,0,0,0,0
com.github.shyiko.klob,1,1,0,0,0,0,0,0,0,0,0,0,0,0
net.kyori,8,1,0,0,0,0,6,0,1,0,0,0,0,0
com.github.seeseemelk,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.zeroturnaround,13,7,0,0,0,0,3,0,3,0,0,0,0,0
com.sun.mail,3,1,0,0,0,0,0,0,2,0,0,0,0,0
info.picocli,37,15,0,0,9,0,1,1,11,0,0,0,0,0
org.spongepowered,20,3,0,0,0,7,6,0,1,2,1,0,0,0
com.github.cabaletta,3,3,0,0,0,0,0,0,0,0,0,0,0,0
com.github.austinv11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.twitch4j,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pw.aru.api,1,1,0,0,0,0,0,0,0,0,0,0,0,0
androidx.fragment,40,36,0,3,0,0,1,0,0,0,0,0,0,0
androidx.concurrent,4,4,0,0,0,0,0,0,0,0,0,0,0,0
io.github.gradle-nexus,13,6,0,0,0,6,0,0,1,0,0,0,0,0
org.ajoberstar.reckon,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ch.tutteli.atrium,11,8,3,0,0,0,0,0,0,0,0,0,0,0
org.snakeyaml,3,1,0,0,0,1,0,0,1,0,0,0,0,0
org.spekframework.spek2,103,27,31,0,0,0,7,0,0,0,4,29,1,4
com.pusher,4,4,0,0,0,0,0,0,0,0,0,0,0,0
io.spring.gradle,26,1,0,0,0,24,0,0,1,0,0,0,0,0
me.champeau.gradle,7,0,0,0,0,7,0,0,0,0,0,0,0,0
org.amshove.kluent,55,19,24,0,0,0,0,0,1,0,11,0,0,0
club.minnced,10,7,0,0,0,0,1,0,2,0,0,0,0,0
com.sedmelluq,15,11,0,0,0,0,1,0,3,0,0,0,0,0
me.melijn.llklient,1,1,0,0,0,0,0,0,0,0,0,0,0,0
me.melijn.jagtag,1,1,0,0,0,0,0,0,0,0,0,0,0,0
me.duncte123,1,1,0,0,0,0,0,0,0,0,0,0,0,0
se.michaelthelin.spotify,2,1,0,0,0,0,0,0,1,0,0,0,0,0
com.github.zh79325,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.sksamuel.scrimage,6,6,0,0,0,0,0,0,0,0,0,0,0,0
me.melijn.jikankt,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.mariuszgromada.math,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.apollographql.apollo,11,8,0,0,0,2,1,0,0,0,0,0,0,0
io.lettuce,11,3,3,0,0,0,1,0,1,3,0,0,0,0
io.github.cdimascio,7,5,0,0,0,0,0,0,2,0,0,0,0,0
org.igniterealtime.smack,2,0,0,0,0,0,0,0,2,0,0,0,0,0
org.testfx,8,0,2,0,0,0,0,0,0,0,5,1,0,0
io.github.rybalkinsd,12,1,5,0,0,0,0,0,6,0,0,0,0,0
org.antlr,40,30,1,0,0,0,2,0,6,1,0,0,0,0
com.github.strumenta,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.github.ftomassetti,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jline,18,13,0,0,0,0,1,0,4,0,0,0,0,0
org.fusesource.jansi,17,10,0,0,0,0,1,0,4,0,0,0,0,2
com.github.sh5i,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jgit,42,32,0,0,0,3,4,0,3,0,0,0,0,0
org.jetbrains.intellij.deps.jcef,1,0,0,0,0,0,0,0,0,1,0,0,0,0
io.dropwizard.metrics,8,6,0,0,0,0,0,0,2,0,0,0,0,0
org.jooq,34,15,1,0,0,3,4,0,8,3,0,0,0,0
org.eclipse.mylyn.github,4,3,0,0,0,0,1,0,0,0,0,0,0,0
eu.geekplace.javapinning,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.github.bfergerson,1,1,0,0,0,0,0,0,0,0,0,0,0,0
