groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
com.github.AppIntro,15,15,0,0,0,0,0,0,0,0,0,0,0,0
com.lambdapioneer.argon2kt,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.getkeepsafe.taptargetview,21,19,0,0,0,0,1,0,1,0,0,0,0,0
com.github.srikanth-lingala,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.owasp,8,1,0,0,0,7,0,0,0,0,0,0,0,0
gradle.plugin.com.browserstack.gradle,1,0,0,0,0,1,0,0,0,0,0,0,0,0
se.ansman.kotshi,12,6,0,0,6,0,0,0,0,0,0,0,0,0
org.json,100,31,32,1,0,0,9,0,20,1,6,0,0,0
io.fabric8,11,5,1,0,0,0,0,0,5,0,0,0,0,0
org.jmailen.gradle,21,0,0,0,0,21,0,0,0,0,0,0,0,0
androidx.compose.foundation,199,189,0,0,0,0,10,0,0,0,0,0,0,0
androidx.compose.animation,36,36,0,0,0,0,0,0,0,0,0,0,0,0
androidx.work,328,271,5,31,1,0,19,0,0,1,0,0,0,0
de.codecentric,14,11,0,0,0,0,1,0,2,0,0,0,0,0
io.springfox,48,27,0,0,0,0,1,0,20,0,0,0,0,0
org.apache.httpcomponents,82,33,12,3,0,2,7,0,23,0,2,0,0,0
io.arrow-kt,433,156,14,0,39,12,29,0,154,20,7,2,0,0
io.jsonwebtoken,62,19,3,0,0,0,7,0,6,1,0,6,0,20
io.kotlintest,130,8,62,2,0,0,1,0,3,0,54,0,0,0
com.ninja-squad,18,0,15,0,0,0,0,0,0,0,3,0,0,0
org.springframework.security,58,31,19,0,0,0,2,0,3,0,2,0,0,1
com.h2database,138,31,6,0,0,2,1,0,15,0,3,2,1,77
com.netflix.nebula,34,8,0,0,0,18,3,0,1,3,1,0,0,0
com.github.jengelman.gradle.plugins,150,13,0,0,0,131,5,0,0,1,0,0,0,0
org.apache.logging.log4j,265,108,15,0,0,0,20,1,81,3,16,9,0,12
com.fasterxml.jackson.dataformat,135,70,7,0,0,1,19,0,31,2,3,0,0,2
com.github.yuanhoujun,1,0,0,0,0,0,0,0,1,0,0,0,0,0
io.realm,124,5,2,0,15,90,0,1,9,2,0,0,0,0
com.jeremyliao,12,8,0,0,0,0,4,0,0,0,0,0,0,0
com.github.goweii,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.github.hackware1993,8,6,0,0,0,0,2,0,0,0,0,0,0,0
com.scwang.smart,67,45,0,0,0,0,22,0,0,0,0,0,0,0
com.blankj,43,28,0,0,0,1,11,0,3,0,0,0,0,0
androidx.sharetarget,9,8,0,0,0,0,1,0,0,0,0,0,0,0
com.github.silencedut,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.silencedut.hub,2,0,0,0,1,0,1,0,0,0,0,0,0,0
com.github.kuamanet,1,0,0,0,0,0,1,0,0,0,0,0,0,0
com.github.AliAzaz,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.amazon.ion,5,1,1,0,0,0,3,0,0,0,0,0,0,0
com.gradle.publish,26,3,0,0,0,20,3,0,0,0,0,0,0,0
org.controlsfx,13,4,0,0,0,0,0,0,9,0,0,0,0,0
com.github.GrenderG,24,19,0,0,0,0,2,0,3,0,0,0,0,0
cn.carbswang.android,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.github.doyaaaaaken,11,8,1,0,0,0,0,0,2,0,0,0,0,0
com.github.jahirfiquitiva,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.bigkoo,13,10,0,0,0,0,2,0,1,0,0,0,0,0
com.timehop.stickyheadersrecyclerview,6,5,0,0,0,0,0,0,1,0,0,0,0,0
com.microsoft.appcenter,26,26,0,0,0,0,0,0,0,0,0,0,0,0
org.springframework.android,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.wang.avi,32,26,0,0,0,0,3,0,3,0,0,0,0,0
gun0912.ted,8,8,0,0,0,0,0,0,0,0,0,0,0,0
com.alexvasilkov,8,7,0,0,0,0,0,0,1,0,0,0,0,0
com.moowork.gradle,36,1,0,0,0,35,0,0,0,0,0,0,0,0
com.uber.autodispose,65,45,0,0,0,0,16,0,4,0,0,0,0,0
net.danlew,33,26,0,0,0,0,3,0,4,0,0,0,0,0
com.codingfeline.kgql,1,0,0,0,0,1,0,0,0,0,0,0,0,0
yummypets.stevia.android,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.jraska.livedata,16,0,15,1,0,0,0,0,0,0,0,0,0,0
com.jakewharton.rxbinding3,72,71,0,0,0,0,0,0,1,0,0,0,0,0
digital.wup,19,1,0,0,0,18,0,0,0,0,0,0,0,0
com.ms-square,9,9,0,0,0,0,0,0,0,0,0,0,0,0
